Type;Model;Reference;Label;Color;length;Diameter;x;y;z;Type
Connector;IDC LUMBERG ;3510 10 K06S03V102;LU1;White;;;27;11;7;
Connector;TYCO ;4-17183346-1;TY1;Maroon;;;10;5;17;
Connector;IDC LUMBERG ;3510 11 K09S03V102;LU2;White;;;30;11;7;
Connector;MOLEX;987871011;MO1;Black;;;16.2;19;32;
Connector;MOLEX;987871018;MO2;Grey;;;16.2;16.6;30;
Connector;TYCO ;1-1718346-1;TY2;Black;;;10;5;17;
Connector;TYCO ;1801176-1;TY3;Black;;;17;21;34;
Connector;MOLEX;988221020;MO3;White;;;17;16;41;
Connector;MOLEX;988221021;MO4;Black;;;16;17;40;
Connector;MOLEX;3901-2060;MO5;White;;;14;14;20;
Cable;;;CA1;Black;400;1.34;;;;
Cable;;;CA2;Red;420;1.34;;;;
Cable;;;CA3;White;430;1.34;;;;
Cable;;;CA4;Blue;380;1.34;;;;
Cable;;;CA5;Green;400;1.34;;;;
Cable;;;CA6;Yellow;420;1.34;;;;
Cable;;;CA7;White;430;1.34;;;;
Cable;;;CA8;Blue;380;1.34;;;;
Cable;;;CA9;Green;400;1.34;;;;
Cable;;;CA10;Yellow;420;1.34;;;;
Cable;;;CA11;Red;430;1.34;;;;
Cable;;;CA12;Black;380;1.34;;;;
Cable;;;CA13;White;400;1.34;;;;
Cable;;;CA14;Green;420;1.34;;;;
Cable;;;CA15;Blue;430;1.34;;;;
Cable;;;CA16;Yellow;380;1.34;;;;
Cable;;;CA17;Pink;400;1.34;;;;
Cable;;;CA18;Brown;420;1.34;;;;
Cable;;;CA19;Yellow;430;1.34;;;;
Cable;;;CA20;Black;380;1.34;;;;
Cable;;;CA21;Red;400;1.34;;;;
Cable;;;CA22;Yellow;420;2.36;;;;
Cable;;;CA23;Green;430;2.36;;;;
Cable;;;CA24;Black;380;2.36;;;;
Cable;;;CA25;Green-yellow;400;2.36;;;;
Cable;;;CA26;Red;420;2.1;;;;
Cable;;;CA27;Grey;430;2.1;;;;
Device;EPCOS;;EP1;Blue;;;;;;Capacitor
Device;EPCOS;;EP2;Blue;;;;;;Capacitor
Gun;KTH Spot;;GUN1;;;;;;;
